Time,Altitude,Velocity
0,10000,-0.371467
0.1,9999.96,-0.371467
0.2,9999.89,-0.742933
0.3,9999.78,-1.1144
0.4,9999.63,-1.48586
0.5,9999.44,-1.85731
0.6,9999.22,-2.22876
0.7,9998.96,-2.6002
0.8,9998.66,-2.97164
0.9,9998.33,-3.34306
1,9997.96,-3.71446
1.1,9997.55,-4.08586
1.2,9997.1,-4.45724
1.3,9996.62,-4.8286
1.4,9996.1,-5.19994
1.5,9995.54,-5.57126
1.6,9994.95,-5.94256
1.7,9994.32,-6.31384
1.8,9993.65,-6.6851
1.9,9992.94,-7.05632
2,9992.2,-7.42753
2.1,9991.42,-7.7987
2.2,9990.6,-8.16984
2.3,9989.75,-8.54095
2.4,9988.86,-8.91203
2.5,9987.93,-9.28307
2.6,9986.96,-9.65408
2.7,9985.96,-10.025
2.8,9984.92,-10.396
2.9,9983.85,-10.7669
3,9982.73,-11.1377
3.1,9981.58,-11.5085
3.2,9980.39,-11.8793
3.3,9979.17,-12.25
3.4,9977.91,-12.6206
3.5,9976.61,-12.9913
3.6,9975.27,-13.3618
3.7,9973.9,-13.7323
3.8,9972.49,-14.1028
3.9,9971.04,-14.4732
4,9969.56,-14.8435
4.1,9968.03,-15.2138
4.2,9966.48,-15.584
4.3,9964.88,-15.9542
4.4,9963.25,-16.3243
4.5,9961.58,-16.6943
4.6,9959.87,-17.0643
4.7,9958.13,-17.4342
4.8,9956.35,-17.8041
4.9,9954.53,-18.1738
5,9952.68,-18.5435
5.1,9950.79,-18.9131
5.2,9948.86,-19.2827
5.3,9946.89,-19.6522
5.4,9944.89,-20.0215
5.5,9942.85,-20.3909
5.6,9940.77,-20.7601
5.7,9938.66,-21.1292
5.8,9936.51,-21.4983
5.9,9934.32,-21.8673
6,9932.1,-22.2362
6.1,9929.84,-22.605
6.2,9927.54,-22.9737
6.3,9925.21,-23.3423
6.4,9922.84,-23.7109
6.5,9920.43,-24.0793
6.6,9917.99,-24.4476
6.7,9915.5,-24.8159
6.8,9912.99,-25.184
6.9,9910.43,-25.5521
7,9907.84,-25.92
7.1,9905.21,-26.2879
7.2,9902.54,-26.6556
7.3,9899.84,-27.0232
7.4,9897.1,-27.3908
7.5,9894.33,-27.7582
7.6,9891.51,-28.1255
7.7,9888.66,-28.4927
7.8,9885.78,-28.8598
7.9,9882.86,-29.2267
8,9879.9,-29.5936
8.1,9876.9,-29.9603
8.2,9873.87,-30.3269
8.3,9870.8,-30.6934
8.4,9867.69,-31.0598
8.5,9864.55,-31.426
8.6,9861.37,-31.7921
8.7,9858.16,-32.1581
8.8,9854.9,-32.524
8.9,9851.61,-32.8897
9,9848.29,-33.2553
9.1,9844.93,-33.6208
9.2,9841.53,-33.9861
9.3,9838.09,-34.3513
9.4,9834.62,-34.7164
9.5,9831.11,-35.0813
9.6,9827.57,-35.4461
